id,title,author,source,date,subjects
605,"Charley Pride, Lynn Anderson: Oakland Coliseum, Oakland CA",Philip Elwood,The San Francisco Examiner,30 October 1971,"['lynn-anderson', 'charley-pride']"
606,Opry,Gene Guerrero,The Great Speckled Bird,1 November 1971,[]
607,"Commander Cody & His Lost Planet Airmen, Shanti: The Ash Grove, Los Angeles CA",Richard Cromelin,Los Angeles Times,12 November 1971,"['commander-cody', 'shanti']"
608,I Love The Byrds But...,Kim Fowley,Phonograph Record,January 1972,['byrds-the']
609,"Johnny Cash, Carter Family, Statler Brothers, Carl Perkins: Civic Center, Atlanta GA",Gene Guerrero,The Great Speckled Bird,14 February 1972,"['carter-family-the', 'johnny-cash', 'carl-perkins', 'statler-brothers-the']"
610,"Charley Pride, Tammy Wynette and George Jones: Municipal Auditorium, Atlanta GA",Gene Guerrero,The Great Speckled Bird,31 February 1972,"['george-jones', 'tammy-wynette', 'charley-pride']"
611,Kris Kristofferson and Rita Coolidge: Kris and the Delta lady,Rosalind Russell,Disc,13 May 1972,"['rita-coolidge', 'kris-kristofferson']"
612,The Everly Brothers: Roots,Gene Guerrero,The Great Speckled Bird,12 June 1972,['everly-brothers-the']
613,Charlie Rich: Rich and Mellow,Bill Millar,Record Mirror,12 August 1972,['charlie-rich']
614,"Seatrain, Redwing: The Whisky, Los Angeles, CA",Jeff Walker,Phonograph Record,September 1972,"['seatrain', 'redwing']"
615,Rocking Chair,Michael Lydon,Fusion,September 1972,"['lightnin-hopkins', 'hank-snow', 'lester-young', 'wilf-carter-montana-slim']"
616,"Johnny Cash, Carter Family, Statler Brothers, Carl Perkins: Royal Albert Hall, London",Andrew Means,Melody Maker,7 October 1972,"['carter-family-the', 'johnny-cash', 'carl-perkins', 'statler-brothers-the']"
617,Dorsey Burnette: Here and Now (Capitol 11094),Gene Sculatti,Fusion,November 1972,['dorsey-burnette']
618,Michael Nesmith: The Hits Just Keep On Comin' (RCA),Jonh Ingham,New Musical Express,13 January 1973,['michael-nesmith']
619,Johnny Paycheck: Somebody Loves Me (Epic),Roger St. Pierre,New Musical Express,27 January 1973,['johnny-paycheck']
700,Rowan Brothers: Rowan Brothers (CBS),Jonh Ingham,New Musical Express,27 January 1973,['rowan-brothers-the']
701,Charley Pride,Gene Guerrero,The Great Speckled Bird,1 February 1973,['charley-pride']
702,"Glen Campbell: Carnegie Hall, New York NY",Ian Dove,The New York Times,23 February 1973,['glen-campbell']
703,Shower of Stars: George Jones & Tammy Wynette,Gene Guerrero,The Great Speckled Bird,5 March 1973,"['george-jones', 'tammy-wynette']"
704,The Eagles: Takin' It Easy,Danny Holloway,New Musical Express,10 March 1973,['eagles-the']
705,Eagles Make It Easy,Jerry Gilbert,Sounds,10 March 1973,['eagles-the']
706,"Tammy Wynette and George Jones: Philharmonic Hall, New York NY",Ian Dove,The New York Times,27 March 1973,"['george-jones', 'tammy-wynette']"
707,Gram Parsons: GP (Reprise),Charlie Gillett,New Musical Express,31 March 1973,['gram-parsons']
708,Gram Parsons: Parsons Knows...,Loraine Alterman,Melody Maker,7 April 1973,"['emmylou-harris', 'gram-parsons']"
709,Joe South: A Look Inside (Capitol),John Swenson,The Village Voice,12 April 1973,['joe-south']
710,"Conway Twitty, Lorette Lynn, Nat Stuckey, Freddie Hart: San Jose Municipal Auditorium, San Jose CA",Philip Elwood,The San Francisco Examiner,20 April 1973,"['loretta-lynn', 'conway-twitty', 'freddie-hart', 'nat-stuckey']"
711,The Eagles: Desperado (Asylum),Paul Gambaccini,Rolling Stone,10 May 1973,['eagles-the']
712,Parsons the Country Preacher,Roy Carr,New Musical Express,12 May 1973,"['byrds-the', 'flying-burrito-brothers', 'international-submarine-band', 'gram-parsons']"
713,Jerry Lee Lewis Comes Back,Gene Guerrero,The Great Speckled Bird,21 May 1973,['jerry-lee-lewis']
714,Gram Parsons: Take Your Partners and Away You Go (One Step back Two Steps Forward),Phil Hardy,Let It Rock,July 1973,"['byrds-the', 'flying-burrito-brothers', 'gram-parsons']"
715,Joe Simon: Country Joe,Roger St. Pierre,New Musical Express,28 July 1973,['joe-simon']
716,"Commander Cody: The Early Sound Of ""Now"" Music",Lillian Roxon,New York Sunday News,29 July 1973,['commander-cody']
717,"Waylon Jennings: You Gotta Be A Man First, 'Fore You Can Be Anything...",Michael Watts,Melody Maker,11 August 1973,['waylon-jennings']
718,A Guide To Contemporary Country Groups,Mick Houghton,Let It Rock,September 1973,"['asleep-at-the-wheel', 'charlatans-the-us', 'commander-cody', 'country-gazette', 'dillard-and-clark', 'dillards-the', 'dan-hicks-and-his-hot-licks', 'new-riders-of-the-purple-sage']"
719,Rick Nelson: Has it Really Been 2 Years Since Garden Party?,Arthur Levy,Zoo World,11 October 1973,['rick-nelson']
800,The Nudie Look,Chris Charlesworth,Melody Maker,27 October 1973,[]
801,"Tanya Tucker: Delta Dawn, What's Your Mama's Name (Columbia)",Ken Barnes,Phonograph Record,November 1973,['tanya-tucker']
802,Conway Twitty & Loretta Lynn: Louisiana Woman – Mississippi Man; Merle Haggard: I Love Dixie Blues...,John Morthland,Creem,November 1973,"['merle-haggard', 'loretta-lynn', 'conway-twitty']"
803,Linda Ronstadt: Don't Cry Now (Asylum),Michael Watts,Melody Maker,10 November 1973,['linda-ronstadt']
804,Chet Atkins: Country Gent,Chris Charlesworth,Melody Maker,24 November 1973,['chet-atkins']
805,Tanya Tucker: Jail Bait on Parade,Gary Kenton,Creem,January 1974,['tanya-tucker']
806,Buck Owens Bringing Nashville North by Way of West Coast,Ian Dove,The New York Times,11 January 1974,['buck-owens']
807,"Charlie Rich, Tom T. Hall, Bill Monroe: Felt Forum, New York NY",Ian Dove,The New York Times,11 February 1974,"['tom-t-hall', 'bill-monroe', 'charlie-rich']"
808,"Gram Parsons: Grievous Angel (Warner Bros. MS 2171, Import)",Jerry Gilbert,Sounds,16 February 1974,"['emmylou-harris', 'gram-parsons']"
809,Gram Parsons: Grievous Angel (Reprise import),Chrissie Hynde,New Musical Express,23 February 1974,['gram-parsons']
810,"The Dillards: Bottom Line, New York NY",John Swenson,The Village Voice,7 March 1974,['dillards-the']
811,Charlie Rich: Behind Closed Doors (CBS KE32247),Jerry Gilbert,Sounds,16 March 1974,['charlie-rich']
812,"Rick Nelson & the Stone Canyon Band: Bottom Line, New York NY",Chris Charlesworth,Melody Maker,13 April 1974,['rick-nelson']
813,Tanya Tucker: Would You Lay With Me In A Field Of Stone? (Columbia KC 32744),Toby Mamis,Zoo World,25 April 1974,['tanya-tucker']
814,Tanya Tucker: Would You Lay with Me (In a Field of Stone) (Columbia KC 32744),Ken Barnes,Rolling Stone,25 April 1974,['tanya-tucker']
815,"Gram Parsons: Grievous Angel (Reprise MS 2171); Chip Taylor: Last Chance (Warner Bros, BS 2718)",Phil Hardy,Let It Rock,May 1974,"['gram-parsons', 'chip-taylor']"
816,Ross: Ross (RSO); Deke Leonard: Kamikaze (UA); Michael Nesmith: Pretty Much Your Standard Ranch Stash (RCA),Simon Frith,Let It Rock,May 1974,"['michael-nesmith', 'ross', 'deke-leonard']"
817,Waylon Jennings: Honky Tonk Heroes (RCA),Michael Watts,Melody Maker,4 May 1974,['waylon-jennings']
818,Charlie Rich: Rich at Heart,Chris Charlesworth,Melody Maker,11 May 1974,['charlie-rich']
819,"The Eagles: Capitol Theater, Passaic NJ",Ian Dove,The New York Times,14 May 1974,['eagles-the']
900,Chilli Willi & The Red Hot Peppers: Red Hot,Phil Hardy,Let It Rock,June 1974,['chilli-willi--the-red-hot-peppers']
901,Willie Nelson: The Emperor of Austin,Joe Nick Patoski,Zoo World,18 July 1974,['willie-nelson']
902,"Souther-Hillman-Furay Band, Danny O'Keefe: Civic Auditorium, Santa Monica CA",Richard Cromelin,Los Angeles Times,2 September 1974,"['souther-hillman-furay-band-the', 'danny-okeefe']"
903,Scott Walker: We Had It All,Fred Dellar,New Musical Express,21 September 1974,['scott-walker']
904,Dolly Parton: The — travails of dualism,Nick Tosches,The Village Voice,26 September 1974,['dolly-parton']
905,Chilli Willi & The Red Hot Peppers: Bongos Over Balham (Mooncrest Crest 21),Phil Hardy,Let It Rock,December 1974,['chilli-willi--the-red-hot-peppers']
906,Earl Scruggs Adds & Subtracts,Robert Duncan,Creem,December 1974,['earl-scruggs']
907,Billy Swan: Swan Song,Michael Watts,Melody Maker,7 December 1974,['billy-swan']
908,Loggins & Messina:  Mother Lode; Poco: Cantamos,Jerry Gilbert,ZigZag,January 1975,"['loggins--messina', 'poco']"
909,The Eagles,Barbara Charone,Hit Parader,January 1975,['eagles-the']
910,Billy Swan: I Can Help (Monument),Fred Dellar,New Musical Express,18 January 1975,['billy-swan']
911,Mac Davis's Ode to Rock & Roll,Paul Gambaccini,Rolling Stone,27 February 1975,['mac-davis']
912,Linda Ronstadt: Heart Like A Wheel (Asylum EST 11358); Emmylou Harris: Pieces Of The Sky (Reprise K 54037),Phil Hardy,Let It Rock,April 1975,"['emmylou-harris', 'linda-ronstadt']"
913,Glen Campbell: Rolling Easy,Harvey Kubernik,Melody Maker,5 April 1975,['glen-campbell']
