id,title,author,source,date,subjects,topic,type,href
c411,John D. Loudermilk,Gene Guerrero,The Great Speckled Bird,20 October 1969,['john-d-loudermilk'],country,Interview,/Library/SearchLinkRedirect?folder=john-d-loudermilk
c412,"The Byrds: Thelma's, Los Angeles CA",John Mendelssohn,Los Angeles Times,25 November 1969,['byrds-the'],country,Live Review,/Library/SearchLinkRedirect?folder=the-byrds-thelmas-los-angeles-ca
c413,Area Code 615: Now — Funky Country!,Richard Williams,Melody Maker,29 November 1969,['area-code-615'],country,Profile and Interview,/Library/SearchLinkRedirect?folder=area-code-615-now--funky-country
c414,Cody's Airmen On the Way Up,Philip Elwood,The San Francisco Examiner,15 December 1969,['commander-cody'],country,Profile and Interview,/Library/SearchLinkRedirect?folder=codys-airmen-on-the-way-up
c415,"Sons of Champlin, Country Joe & the Fish, Area Code 615: Fillmore West, San Francisco CA",Philip Elwood,The San Francisco Examiner,13 February 1970,"['area-code-615', 'country-joe--the-fish', 'sons-of-champlin-the']",country,Live Review,/Library/SearchLinkRedirect?folder=sons-of-champlin-country-joe--the-fish-area-code-615-fillmore-west-san-francisco-ca
c416,"Johnny Cash — The Man, His World, His Music (Dir. Robert Elfstrom, Verité Production)",Richard Green,New Musical Express,21 February 1970,['johnny-cash'],country,Film/DVD/TV Review,/Library/SearchLinkRedirect?folder=ijohnny-cash--the-man-his-world-his-musici-dir-robert-elfstrom-verit-production
c417,Visual Scene Important For Kenny Rogers: The First Edition,uncredited writer,Beat Instrumental,March 1970,['kenny-rogers'],country,Report and Interview,/Library/SearchLinkRedirect?folder=visual-scene-important-for-kenny-rogers-the-first-edition
c418,"Hank Williams, Jr.: Live At Cobo Hall (MGM stereo MGM-CS- 8116; 37s. 5d.)",Richard Green,New Musical Express,14 March 1970,['hank-williams-jr'],country,Review,/Library/SearchLinkRedirect?folder=hank-williams-jr-ilive-at-cobo-halli-mgm-stereo-mgm-cs--8116-37s-5d
c419,Merle Haggard,Gene Guerrero,The Great Speckled Bird,16 March 1970,['merle-haggard'],country,Comment,/Library/SearchLinkRedirect?folder=merle-haggard
c500,"Merle Haggard: Municipal Auditorium, Atlanta",Gene Guerrero,The Great Speckled Bird,23 March 1970,['merle-haggard'],country,Live Review,/Library/SearchLinkRedirect?folder=merle-haggard-municipal-auditorium-atlanta
c501,"Great Speckled Bird: Village Gate, New York NY",Mike Jahn,The New York Times,28 March 1970,['great-speckled-bird'],country,Live Review,/Library/SearchLinkRedirect?folder=great-speckled-bird-village-gate-new-york-ny
c502,Buck Owens And His Buckaroos: Tall Dark Stranger (Capitol stereo E-ST 212; 39s 11d),Richard Green,New Musical Express,30 May 1970,['buck-owens'],country,Review,/Library/SearchLinkRedirect?folder=buck-owens-and-his-buckaroos-itall-dark-strangeri-capitol-stereo-e-st-212-39s-11d
c503,"Arlo Guthrie, Linda Ronstadt: Civic Auditorium, San Francisco CA",Philip Elwood,The San Francisco Examiner,17 August 1970,"['arlo-guthrie', 'linda-ronstadt']",country,Live Review,/Library/SearchLinkRedirect?folder=arlo-guthrie-linda-ronstadt-civic-auditorium-san-francisco-ca
c504,Porter & Dolly,Gene Guerrero,The Great Speckled Bird,30 November 1970,"['dolly-parton', 'porter-wagoner']",country,Profile,/Library/SearchLinkRedirect?folder=porter--dolly
c505,"Jerry Lee Lewis: Town Hall, Auckland NZ",Tom McWilliams,Playdate,December 1970,['jerry-lee-lewis'],country,Live Review,/Library/SearchLinkRedirect?folder=jerry-lee-lewis-town-hall-auckland-nz
c506,"Bill Anderson, Conway Twitty, Bobby Bare, Tom T. Hall: Shower Of Stars, City Auditorium, Atlanta GA",Gene Guerrero,The Great Speckled Bird,15 March 1971,"['bobby-bare', 'tom-t-hall', 'conway-twitty', 'bill-anderson']",country,Live Review,/Library/SearchLinkRedirect?folder=bill-anderson-conway-twitty-bobby-bare-tom-t-hall-shower-of-stars-city-auditorium-atlanta-ga
c507,Charlie Rich: A Time For Tears (Sun 1231),Metal Mike Saunders,The Rag,15 March 1971,['charlie-rich'],country,Review,/Library/SearchLinkRedirect?folder=charlie-rich-ia-time-for-tearsi-sun-1231
c508,Lynn Anderson: Pssst! Don't tell the British that Lynn sings Country!,Richard Green,New Musical Express,20 March 1971,['lynn-anderson'],country,Interview,/Library/SearchLinkRedirect?folder=lynn-anderson-pssst-dont-tell-the-british-that-lynn-sings-country
c509,The Scruggs Bros.,Gene Guerrero,The Great Speckled Bird,29 March 1971,['scruggs-brothers-the'],country,Interview,/Library/SearchLinkRedirect?folder=the-scruggs-bros
c510,Bobby Bare,Gene Guerrero,The Great Speckled Bird,5 April 1971,['bobby-bare'],country,Interview,/Library/SearchLinkRedirect?folder=bobby-bare
c511,"Grateful Dead, New Riders of the Purple Sage: Fillmore East, New York, NY",Vernon Gibbs,Columbia Daily Spectator,29 April 1971,"['grateful-dead', 'new-riders-of-the-purple-sage']",country,Live Review,/Library/SearchLinkRedirect?folder=grateful-dead-new-riders-of-the-purple-sage-fillmore-east-new-york-ny
c512,Cash,Tom McWilliams,Playdate,May 1971,"['carter-family-the', 'johnny-cash', 'june-carter-cash', 'carl-perkins']",country,Report and Interview,/Library/SearchLinkRedirect?folder=cash
c513,Hank Williams and Honky Tonk,Martin Hawkins,Record Mirror,1 May 1971,['hank-williams'],country,Overview,/Library/SearchLinkRedirect?folder=hank-williams-and-honky-tonk
c514,Tom T. Hall,Gene Guerrero,The Great Speckled Bird,3 May 1971,['tom-t-hall'],country,Interview,/Library/SearchLinkRedirect?folder=tom-t-hall
c515,Dolly Parton and Porter Wagoner: ...It's Awfully Hard To Just Let Them People Go By In The World And Not Say Something About It.,Gene Guerrero,The Great Speckled Bird,17 May 1971,"['dolly-parton', 'porter-wagoner']",country,Interview,/Library/SearchLinkRedirect?folder=dolly-parton-and-porter-wagoner-its-awfully-hard-to-just-let-them-people-go-by-in-the-world-and-not-say-something-about-it
c516,Dolly Parton and Porter Wagoner: Country Music Is Exactly That Way. It Tells Of Life The Way It Is.,Gene Guerrero,The Great Speckled Bird,24 May 1971,"['dolly-parton', 'porter-wagoner']",country,Interview,/Library/SearchLinkRedirect?folder=dolly-parton-and-porter-wagoner-country-music-is-exactly-that-way-it-tells-of-life-the-way-it-is
c517,Waylon Jennings: The Taker/Tulsa (RCA 4487),Nick Tosches,Fusion,28 May 1971,['waylon-jennings'],country,Review,/Library/SearchLinkRedirect?folder=waylon-jennings-ithe-takertulsai-rca-4487
c518,Waylon Jennings,Gene Guerrero,The Great Speckled Bird,21 June 1971,['waylon-jennings'],country,Interview,/Library/SearchLinkRedirect?folder=waylon-jennings
c519,Loretta & Conway,Gene Guerrero,The Great Speckled Bird,28 June 1971,"['loretta-lynn', 'conway-twitty']",country,Profile,/Library/SearchLinkRedirect?folder=loretta--conway
c600,Loretta Lynn: Everybody's Got a Soul and a Heart,Gene Guerrero,The Great Speckled Bird,12 July 1971,['loretta-lynn'],country,Interview,/Library/SearchLinkRedirect?folder=loretta-lynn-everybodys-got-a-soul-and-a-heart
